Time,Test,Solver,Threading,Threads,Iterations,Notes,JuMP build,Build (RAM only),Optimisation,Total,Optimum Value
2020-06-18 05:26:52,LISWET2,RAM,true,35,90,,4.548048973083496,21.31144618988037,0.15241193771362305,26.01190710067749,-1667.025377579374
2020-06-18 05:27:17,LISWET2,RAM,true,35,100,,4.548048973083496,20.1044180393219,0.17315387725830078,24.825620889663696,-1667.0196781413997
2020-06-18 05:27:45,LISWET2,RAM,true,35,10,,4.486644983291626,19.11586284637451,0.06696891784667969,23.669476747512817,-1681.3642008623792
2020-06-18 05:28:10,LISWET2,RAM,true,35,20,,4.486644983291626,19.727433919906616,0.08104610443115234,24.295125007629395,-1673.115182293836
2020-06-18 05:28:35,LISWET2,RAM,true,35,30,,4.486644983291626,20.20129084587097,0.09471917152404785,24.782655000686646,-1669.334552706756
2020-06-18 05:28:59,LISWET2,RAM,true,35,40,,4.486644983291626,18.634114980697632,0.10469603538513184,23.22545599937439,-1667.85830409236
2020-06-18 05:29:24,LISWET2,RAM,true,35,50,,4.486644983291626,19.452266931533813,0.111846923828125,24.050758838653564,-1667.3161126513564
2020-06-18 05:29:48,LISWET2,RAM,true,35,60,,4.486644983291626,19.743964910507202,0.12025213241577148,24.3508620262146,-1667.1212788197238
2020-06-18 05:30:13,LISWET2,RAM,true,35,70,,4.486644983291626,20.297593116760254,0.16957592964172363,24.953814029693604,-1667.0563601800175
2020-06-18 05:30:40,LISWET2,RAM,true,35,80,,4.486644983291626,21.91531205177307,0.17026495933532715,26.572221994400024,-1667.0350518349198
2020-06-18 05:31:06,LISWET2,RAM,true,35,90,,4.486644983291626,20.94880700111389,0.15544390678405762,25.590895891189575,-1667.025377579374
2020-06-18 05:31:31,LISWET2,RAM,true,35,100,,4.486644983291626,19.76392698287964,0.18935513496398926,24.439927101135254,-1667.019678260071
2020-06-18 05:32:01,LISWET2,RAM,true,35,10,,4.579809904098511,20.365226984024048,0.12888288497924805,25.073919773101807,-1681.364269852559
2020-06-18 05:32:27,LISWET2,RAM,true,35,20,,4.579809904098511,21.0783908367157,0.09801411628723145,25.75621485710144,-1673.115182293836
2020-06-18 05:32:52,LISWET2,RAM,true,35,30,,4.579809904098511,19.08095693588257,0.1311800479888916,23.79194688796997,-1669.3345649692083
2020-06-18 05:33:16,LISWET2,RAM,true,35,40,,4.579809904098511,19.16262912750244,0.13604998588562012,23.878489017486572,-1667.8583085378134
2020-06-18 05:33:40,LISWET2,RAM,true,35,50,,4.579809904098511,19.04224181175232,0.1424870491027832,23.764538764953613,-1667.316114093539
2020-06-18 05:34:05,LISWET2,RAM,true,35,60,,4.579809904098511,20.42535090446472,0.13500404357910156,25.140164852142334,-1667.1212788197238
2020-06-18 05:34:30,LISWET2,RAM,true,35,70,,4.579809904098511,19.91566300392151,0.13834691047668457,24.633819818496704,-1667.0563591631005
2020-06-18 05:34:55,LISWET2,RAM,true,35,80,,4.579809904098511,20.478245973587036,0.14423394203186035,25.202289819717407,-1667.0350511684971
2020-06-18 05:35:20,LISWET2,RAM,true,35,90,,4.579809904098511,20.290338039398193,0.15676593780517578,25.02691388130188,-1667.025377579374
2020-06-18 05:35:45,LISWET2,RAM,true,35,100,,4.579809904098511,19.806655883789062,0.1605210304260254,24.5469868183136,-1667.0196781413997
2020-06-18 11:36:21,HS21,RAM,true,1,1,,0.13318490982055664,0.00011086463928222656,8.797645568847656e-5,0.13338375091552734,0.009999000099990002
2020-06-18 11:36:23,HS21,RAM,true,1,2,,0.13318490982055664,0.00012087821960449219,0.00010704994201660156,0.13341283798217773,0.009999000099990002
2020-06-18 11:36:23,HS21,RAM,true,1,3,,0.13318490982055664,9.799003601074219e-5,0.00010704994201660156,0.13338994979858398,0.009999000099990002
2020-06-18 11:36:23,HS21,RAM,true,1,4,,0.13318490982055664,8.20159912109375e-5,0.00011301040649414062,0.13337993621826172,0.009999000099990002
2020-06-18 11:36:23,HS21,RAM,true,1,5,,0.13318490982055664,7.915496826171875e-5,0.00014090538024902344,0.13340497016906738,0.009999000099990002
2020-06-18 11:36:23,HS21,RAM,true,1,6,,0.13318490982055664,7.486343383789062e-5,0.00013518333435058594,0.13339495658874512,0.009999000099990002
2020-06-18 11:36:24,HS21,RAM,true,1,7,,0.13318490982055664,7.796287536621094e-5,0.00016498565673828125,0.13342785835266113,0.009999000099990002
2020-06-18 11:36:24,HS21,RAM,true,1,8,,0.13318490982055664,8.296966552734375e-5,0.00019788742065429688,0.13346576690673828,0.009999000099990002
2020-06-18 11:36:24,HS21,RAM,true,1,9,,0.13318490982055664,7.700920104980469e-5,0.00019598007202148438,0.13345789909362793,0.009999000099990002
2020-06-18 11:36:24,HS21,RAM,true,1,10,,0.13318490982055664,0.00010800361633300781,0.0002009868621826172,0.13349390029907227,0.009999000099990002
2020-06-18 11:36:25,HS21,RAM,true,1,1,,0.15831780433654785,7.987022399902344e-5,7.200241088867188e-5,0.15846967697143555,0.009999000099990002
2020-06-18 11:36:25,HS21,RAM,true,1,2,,0.15831780433654785,8.20159912109375e-5,8.392333984375e-5,0.15848374366760254,0.009999000099990002
2020-06-18 11:36:25,HS21,RAM,true,1,3,,0.15831780433654785,8.320808410644531e-5,0.000125885009765625,0.15852689743041992,0.009999000099990002
2020-06-18 11:36:25,HS21,RAM,true,1,4,,0.15831780433654785,7.987022399902344e-5,0.00011205673217773438,0.1585097312927246,0.009999000099990002
2020-06-18 11:36:25,HS21,RAM,true,1,5,,0.15831780433654785,7.700920104980469e-5,0.00013494491577148438,0.15852975845336914,0.009999000099990002
2020-06-18 11:36:26,HS21,RAM,true,1,6,,0.15831780433654785,8.296966552734375e-5,0.00014209747314453125,0.15854287147521973,0.009999000099990002
2020-06-18 11:36:26,HS21,RAM,true,1,7,,0.15831780433654785,6.890296936035156e-5,0.0001361370086669922,0.1585228443145752,0.009999000099990002
2020-06-18 11:36:26,HS21,RAM,true,1,8,,0.15831780433654785,5.507469177246094e-5,0.00011992454528808594,0.1584928035736084,0.009999000099990002
2020-06-18 11:36:26,HS21,RAM,true,1,9,,0.15831780433654785,5.698204040527344e-5,0.0001361370086669922,0.15851092338562012,0.009999000099990002
2020-06-18 11:36:26,HS21,RAM,true,1,10,,0.15831780433654785,5.602836608886719e-5,0.00014400482177734375,0.15851783752441406,0.009999000099990002
2020-06-18 11:36:26,HS21,RAM,true,1,1,,0.10951685905456543,5.507469177246094e-5,4.887580871582031e-5,0.10962080955505371,0.009999000099990002
2020-06-18 11:36:27,HS21,RAM,true,1,2,,0.10951685905456543,5.412101745605469e-5,5.984306335449219e-5,0.10963082313537598,0.009999000099990002
